ts_code,name,price
000001.SZ,平安银行,14.145
000002.SZ,万科A,25.884999999999998
000004.SZ,国农科技,20.09
000005.SZ,世纪星源,3.135
000006.SZ,深振业A,5.359999999999999
000007.SZ,全新好,8.3
000008.SZ,神州高铁,3.4699999999999998
000009.SZ,中国宝安,4.699999999999999
000010.SZ,*ST美丽,3.4000000000000004
000011.SZ,深物业A,10.350000000000001
000012.SZ,南玻A,4.1899999999999995
000014.SZ,沙河股份,9.98
000016.SZ,深康佳A,4.5
000017.SZ,深中华A,5.9399999999999995
000018.SZ,*ST神城,1.08
000019.SZ,深粮控股,6.609999999999999
000020.SZ,深华发A,11.245
000021.SZ,深科技,11.445
000023.SZ,深天地A,13.915
000025.SZ,特力A,21.619999999999997
000026.SZ,飞亚达A,7.865
000027.SZ,深圳能源,5.915
000029.SZ,深深房A,0.0
000030.SZ,富奥股份,4.555
000031.SZ,大悦城,6.375
000032.SZ,深桑达A,10.54
000034.SZ,神州数码,14.205
000035.SZ,中国天楹,5.785
000036.SZ,华联控股,4.525
000037.SZ,深南电A,14.285
000038.SZ,深大通,15.365
000039.SZ,中集集团,9.895
000040.SZ,东旭蓝天,5.0649999999999995
000042.SZ,中洲控股,9.515
000043.SZ,中航善达,15.48
000045.SZ,深纺织A,7.7
000046.SZ,泛海控股,4.42
000048.SZ,康达尔,24.025
000050.SZ,深天马A,13.825
000055.SZ,方大集团,5.055
000056.SZ,皇庭国际,5.6899999999999995
000058.SZ,深赛格,10.465
000059.SZ,华锦股份,5.725
000060.SZ,中金岭南,4.119999999999999
000061.SZ,农产品,5.42
000062.SZ,深圳华强,13.87
000063.SZ,中兴通讯,28.994999999999997
000065.SZ,北方国际,8.66
000066.SZ,中国长城,10.775
000068.SZ,华控赛格,5.1899999999999995
000069.SZ,华侨城A,6.805
000070.SZ,特发信息,12.395
000078.SZ,海王生物,3.4699999999999998
000088.SZ,盐田港,6.085
000089.SZ,深圳机场,10.55
000090.SZ,天健集团,5.605
000096.SZ,广聚能源,9.780000000000001
000099.SZ,中信海直,8.004999999999999
000100.SZ,TCL集团,3.2350000000000003
000150.SZ,宜华健康,5.045
000151.SZ,中成股份,10.145
000153.SZ,丰原药业,6.220000000000001
000155.SZ,川能动力,3.96
000156.SZ,华数传媒,9.83
000157.SZ,中联重科,5.33
000158.SZ,常山北明,5.26
000159.SZ,国际实业,6.61
000166.SZ,申万宏源,4.8149999999999995
000301.SZ,东方盛虹,5.075
000338.SZ,潍柴动力,11.43
000400.SZ,许继电气,8.515
000401.SZ,冀东水泥,15.364999999999998
000402.SZ,金融街,7.365
000404.SZ,长虹华意,3.9850000000000003
000407.SZ,胜利股份,3.5
000408.SZ,藏格控股,8.635000000000002
000409.SZ,ST地矿,5.25
000410.SZ,*ST沈机,5.35
000411.SZ,英特集团,13.114999999999998
000413.SZ,东旭光电,4.605
000415.SZ,渤海租赁,3.535
000416.SZ,民生控股,5.609999999999999
000417.SZ,合肥百货,4.53
000419.SZ,通程控股,4.245
000420.SZ,吉林化纤,2.355
000421.SZ,南京公用,4.42
000422.SZ,ST宜化,2.77
000425.SZ,徐工机械,4.3100000000000005
000426.SZ,兴业矿业,5.48
000428.SZ,华天酒店,2.665
000429.SZ,粤高速A,7.54
000430.SZ,张家界,5.324999999999999
000488.SZ,晨鸣纸业,4.635
000498.SZ,山东路桥,4.705
000501.SZ,鄂武商A,10.129999999999999
000502.SZ,绿景控股,7.105
000503.SZ,国新健康,15.81
000504.SZ,*ST生物,9.18
000505.SZ,京粮控股,5.895
